Physician_ID,Set,Primary_Specialty_Count,License_State_Count,Total_Amount_of_Payment_USDollars,Number_of_Payments,Number_of_Ownership_Interests,Has_Ownership_Interest
1,train,3,1,952.9300000000001,47,,
2,train,2,1,120924.91999999998,154,,
3,train,2,1,3523.9299999999994,132,,
4,train,3,3,26745.609999999997,411,,
5,train,3,1,25411.209999999992,98,,
6,train,3,1,2680.7999999999997,34,1.0,True
7,train,2,1,5822.78,55,,
8,train,2,1,2395.9999999999995,157,,
9,train,2,1,921.9800000000001,28,,
10,train,2,2,167075.03999999998,141,,
11,train,3,1,12709.720000000005,311,,
12,train,0,1,572.2299999999999,23,,
13,train,3,1,658.9999999999999,29,,
14,test,3,1,5775.530000000005,543,,
15,train,3,5,14626.949999999999,423,,
16,train,3,1,16447.750000000004,45,,
17,train,2,1,1379.94,35,,
18,test,3,1,92123.24000000006,584,,
19,train,3,3,63146.60000000001,464,,
20,train,2,2,3099.1700000000005,162,,
21,train,3,1,310294.5600000002,1276,,
22,train,3,1,1615.4199999999998,24,,
23,train,3,1,7398.220000000003,103,,
24,train,2,1,1321.7500000000002,51,4.0,True
25,train,2,1,6691.739999999996,88,,
26,train,2,1,6788.979999999996,393,,
27,train,2,1,55552.99999999994,234,,
28,train,3,1,5619.509999999998,355,,
29,train,3,2,4534.130000000003,247,,
30,train,2,2,8732.769999999999,67,,
31,train,3,2,253482.5100000002,1326,,
32,train,3,2,14676.989999999998,44,,
33,train,3,2,3343.9800000000005,215,1.0,True
34,train,3,1,56162.05000000001,220,,
35,train,3,1,479471.70000000024,595,,
36,train,3,1,19179.259999999977,569,,
37,train,2,2,1529.38,96,,
38,train,3,1,393113.92999999976,360,5.0,True
39,train,2,2,58412.970000000016,381,,
40,train,2,1,1649.5199999999995,118,,
41,train,2,2,12533.579999999994,456,,
42,test,2,1,3159.4899999999993,180,,
43,train,2,1,3145.3799999999997,117,,
44,train,3,1,9611.18,33,,
45,train,2,1,846.26,27,,
46,test,0,1,1614.3399999999995,64,,
47,test,3,2,6493.999999999999,296,,
48,train,2,1,1148.6700000000003,81,,
49,train,2,1,10549.35,73,,
50,train,2,1,3097.2999999999997,260,,
51,train,2,1,2753.1699999999996,83,,
52,train,3,1,1478.3999999999999,16,,
53,test,2,3,89072.95999999995,470,,
54,train,2,1,2197.8100000000013,125,,
55,train,2,1,16509.179999999993,329,,
56,train,2,1,1743.74,93,,
57,test,2,1,1045.4400000000003,66,,
58,test,2,1,1468.6000000000001,19,,
59,train,0,1,939.2800000000001,28,,
60,train,2,1,1877.48,26,,
61,train,2,1,4068.49,33,,
62,test,3,2,42219.110000000015,107,,
63,train,3,2,4034.2799999999997,224,,
64,train,2,1,1355.4600000000003,87,,
65,train,2,1,957.8299999999999,45,,
66,train,3,3,8947.889999999998,140,,
67,train,2,1,2501.4100000000008,88,,
68,train,3,2,42632.429999999935,743,,
69,train,2,1,2224.52,92,1.0,True
70,train,3,1,7037.3099999999995,285,,
71,train,3,3,3508.0099999999998,57,,
72,train,3,1,4454.0199999999995,60,,
73,train,3,3,6771.339999999998,93,,
74,train,2,1,2784.7599999999998,144,,
75,train,0,1,670.7499999999999,36,,
76,test,2,1,4120.790000000003,107,,
77,train,3,3,8172.329999999999,348,,
78,train,2,1,1845.5000000000002,58,,
79,train,2,1,9528.139999999998,933,,
80,test,2,1,4360.819999999998,131,,
81,test,2,1,2529.5099999999993,105,,
82,test,2,1,1772.2,183,,
83,train,3,2,189471.76999999993,688,,
