Physician_ID,State,Primary_Specialty,ownership_interest,total_payments,number_of_payments
1,FL,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,0,952.93,47
2,MD,Allopathic & Osteopathic Physicians|Anesthesiology,0,120924.92,154
3,NY,Podiatric Medicine & Surgery Service Providers|Podiatrist,0,3523.93,132
4,GA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,26745.61,411
5,NM,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,0,25411.21,98
6,NY,Dental Providers|Dentist|General Practice,1,2680.8,33
7,KS,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,0,5822.78,55
8,NJ,Allopathic & Osteopathic Physicians|Internal Medicine,0,2396,153
9,MI,Allopathic & Osteopathic Physicians|Pediatrics,0,921.98,28
10,TX,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,167075.04,135
11,NC,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,0,12709.72,311
13,IN,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,0,659,29
15,FL,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,0,14626.95,423
16,NY,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,0,16447.75,45
17,NY,Allopathic & Osteopathic Physicians|Surgery,0,1379.94,35
19,AL,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,0,63146.6,464
20,IL,Eye and Vision Services Providers|Optometrist,0,3099.17,162
21,CA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,310294.56,1256
22,FL,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,0,1615.42,23
23,PA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,7398.22,103
24,MT,Eye and Vision Services Providers|Optometrist,1,1321.75,39
25,KY,Allopathic & Osteopathic Physicians|Plastic Surgery,0,6691.74,88
26,IL,Allopathic & Osteopathic Physicians|Internal Medicine,0,6788.98,390
27,FL,Allopathic & Osteopathic Physicians|Neurological Surgery,0,55553,234
28,NY,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,0,5619.51,351
29,MI,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,4534.13,240
30,MI,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,8732.77,67
31,NJ,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,253482.51,1294
32,FL,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,0,14676.99,44
33,DE,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,1,3343.98,209
34,NY,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,0,56162.05,220
35,CA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,479471.7,588
36,OH,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,19179.26,517
37,NC,Allopathic & Osteopathic Physicians|Internal Medicine,0,1529.38,96
38,CA,Dental Providers|Dentist|Prosthodontics,1,393113.93,356
39,CO,Allopathic & Osteopathic Physicians|Dermatology,0,58412.97,379
40,MI,Allopathic & Osteopathic Physicians|Internal Medicine,0,1649.52,118
41,UT,Allopathic & Osteopathic Physicians|Pediatrics,0,12533.58,446
43,FL,Allopathic & Osteopathic Physicians|Emergency Medicine,0,3145.38,117
44,CA,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,0,9611.18,33
45,CA,Allopathic & Osteopathic Physicians|Ophthalmology,0,846.26,27
48,CO,Allopathic & Osteopathic Physicians|Family Medicine,0,1148.67,81
49,MI,Allopathic & Osteopathic Physicians|Surgery,0,10549.35,73
50,MI,Allopathic & Osteopathic Physicians|Family Medicine,0,3097.3,260
51,CA,Podiatric Medicine & Surgery Service Providers|Podiatrist,0,2753.17,83
52,FL,Dental Providers|Dentist|Periodontics,0,1478.4,16
54,CA,Allopathic & Osteopathic Physicians|Family Medicine,0,2197.81,125
55,IN,Allopathic & Osteopathic Physicians|Family Medicine,0,16509.18,320
56,VA,Dental Providers|Dentist,0,1743.74,92
60,FL,Eye and Vision Services Providers|Optometrist,0,1877.48,26
61,UT,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,0,4068.4900000000002,33
63,CA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,0,4034.28,223
64,TX,Allopathic & Osteopathic Physicians|Family Medicine,0,1355.46,87
65,GA,Allopathic & Osteopathic Physicians|Surgery,0,957.83,45
66,CA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,0,8947.89,140
67,NY,Allopathic & Osteopathic Physicians|Internal Medicine,0,2501.41,88
