Physician_ID,State,Primary_Specialty,ownership_interest,total_payments,number_of_payments,nature,total_of_nature,range,number_of_payment_range
1,FL,Obstetrics & Gynecology,0,952.93,47,Food and Beverage,842.44,170.41000000000003,8
2,MD,Anesthesiology,0,120924.92,154,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",45190.7,35030.520000000004,45
3,NY,Podiatric Medicine & Surgery Service Providers,0,3523.93,132,Food and Beverage,3523.93,462.41999999999996,12
4,GA,Internal Medicine,0,26745.61,411,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",18011.81,13247.09,50
5,NM,Orthopaedic Surgery,0,25411.21,98,Education,8792,9079.720000000001,18
6,NY,Dental Providers,1,2680.8,33,Food and Beverage,1492.83,1039.88,8
7,KS,Obstetrics & Gynecology,0,5822.78,55,Education,2500,4355.49,18
8,NJ,Internal Medicine,0,2396,153,Food and Beverage,2396,349.58,27
9,MI,Pediatrics,0,921.98,28,Food and Beverage,862.08,237.20000000000002,8
10,TX,Orthopaedic Surgery,0,167075.04,135,Consulting Fee,104436.66,68416.48,15
11,NC,Orthopaedic Surgery,0,12709.72,311,Food and Beverage,6748.57,4090.7400000000002,55
13,IN,Dental Providers,0,659,29,Food and Beverage,543.37,229.11999999999998,10
15,FL,Internal Medicine,0,14626.95,423,Food and Beverage,9905.07,2730.06,56
16,NY,Internal Medicine,0,16447.75,45,Consulting Fee,11250,5033.02,11
17,NY,Surgery,0,1379.94,35,Food and Beverage,1364.79,458.87,6
19,AL,Internal Medicine,0,63146.6,464,Travel and Lodging,18340.33,11364.550000000001,96
20,IL,Eye and Vision Services Providers,0,3099.17,162,Food and Beverage,3099.17,351.77,16
21,CA,Psychiatry & Neurology,0,310294.56,1256,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",149748.45,73295.86,90
22,FL,Dental Providers,0,1615.42,23,Food and Beverage,1424.83,797.15,4
23,PA,Psychiatry & Neurology,0,7398.22,103,Food and Beverage,7232.01,853.19,8
24,MT,Eye and Vision Services Providers,1,1321.75,39,Food and Beverage,1246.45,319.25,12
25,KY,Plastic Surgery,0,6691.74,88,Food and Beverage,3413.74,1715.9,15
26,IL,Internal Medicine,0,6788.98,390,Food and Beverage,6494.38,2228.17,128
27,FL,Neurological Surgery,0,55553,234,Consulting Fee,41430.38,13013.34,35
28,NY,Internal Medicine,0,5619.51,351,Food and Beverage,5338.36,769.24,55
29,MI,Internal Medicine,0,4534.13,240,Food and Beverage,4248.97,729.2400000000001,62
30,MI,Orthopaedic Surgery,0,8732.77,67,Consulting Fee,5500,5534.36,28
31,NJ,Internal Medicine,0,253482.51,1294,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",193836.4,41040.86,46
32,FL,Internal Medicine,0,14676.99,44,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",10800,13045.11,22
33,DE,Internal Medicine,1,3343.98,209,Food and Beverage,3276.8,878.79,42
34,NY,Internal Medicine,0,56162.05,220,Education,41722,14047.81,36
35,CA,Psychiatry & Neurology,0,479471.7,588,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",371611,53949.58999999999,52
36,OH,Psychiatry & Neurology,0,19179.26,517,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",9727.5,6855.47,54
37,NC,Internal Medicine,0,1529.38,96,Food and Beverage,1504.43,410.08000000000004,23
38,CA,Dental Providers,1,393113.93,356,Consulting Fee,261193.75,154301.22,107
39,CO,Dermatology,0,58412.97,379,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",45575,9047.61,56
40,MI,Internal Medicine,0,1649.52,118,Food and Beverage,1649.52,289,17
41,UT,Pediatrics,0,12533.58,446,Food and Beverage,6363.51,5520.110000000001,64
43,FL,Emergency Medicine,0,3145.38,117,Food and Beverage,3141.87,828.15,49
44,CA,Podiatric Medicine & Surgery Service Providers,0,9611.18,33,Consulting Fee,4650,5022.19,18
45,CA,Ophthalmology,0,846.26,27,Food and Beverage,733.31,110.58999999999999,4
48,CO,Family Medicine,0,1148.67,81,Food and Beverage,1038.4,211.92000000000002,19
49,MI,Surgery,0,10549.35,73,Education,6500,4655.44,25
50,MI,Family Medicine,0,3097.3,260,Food and Beverage,3095.82,378.56,43
51,CA,Podiatric Medicine & Surgery Service Providers,0,2753.17,83,Food and Beverage,2753.17,668.51,13
52,FL,Dental Providers,0,1478.4,16,Gift,997.57,1053.8400000000001,3
54,CA,Family Medicine,0,2197.81,125,Food and Beverage,1622.1299999999999,359.31,15
55,IN,Family Medicine,0,16509.18,320,Food and Beverage,8712.39,5809.27,28
56,VA,Dental Providers,0,1743.74,92,Food and Beverage,1714.18,436.51,22
60,FL,Eye and Vision Services Providers,0,1877.48,26,Food and Beverage,1011.5500000000001,754.11,11
61,UT,Orthopaedic Surgery,0,4068.4900000000002,33,Honoraria,1550,2802.9399999999996,12
63,CA,Psychiatry & Neurology,0,4034.28,223,Food and Beverage,3772.58,1542.02,69
64,TX,Family Medicine,0,1355.46,87,Food and Beverage,1301.22,649.4699999999999,44
65,GA,Surgery,0,957.83,45,Food and Beverage,922.83,252.48999999999998,8
66,CA,Internal Medicine,0,8947.89,140,Travel and Lodging,5689.56,4062.7499999999995,35
67,NY,Internal Medicine,0,2501.41,88,Food and Beverage,1831.41,384.7800000000001,26
68,TN,Internal Medicine,0,42632.43,721,Travel and Lodging,25611.88,11321.76,97
69,NY,Ophthalmology,1,2224.52,92,Food and Beverage,2224.52,535.4,25
70,IL,Internal Medicine,0,7037.31,283,Food and Beverage,5781.93,1347.1799999999998,22
71,CA,Internal Medicine,0,3508.0099999999998,57,Consulting Fee,1800,2515.57,34
72,NJ,Psychiatry & Neurology,0,4454.0199999999995,60,Food and Beverage,4423.17,1113.1,13
73,OH,Radiology,0,6771.34,93,Travel and Lodging,3613.94,1940.15,17
74,CA,Family Medicine,0,2784.7599999999998,144,Food and Beverage,2780.12,273.85,20
77,TX,Internal Medicine,0,8172.33,348,Food and Beverage,4251.23,4374.24,117
78,TX,Otolaryngology,0,1845.5,58,Food and Beverage,1845.5,247.34000000000003,9
79,AL,Family Medicine,0,9528.14,848,Food and Beverage,9353.16,835.51,96
83,GA,Physical Medicine & Rehabilitation,0,189471.77,682,Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program,75512.5,94605.62999999999,223
84,MD,Internal Medicine,0,372.19,11,Food and Beverage,358.33,95.06,1
85,WA,Internal Medicine,0,6400.04,124,Food and Beverage,3538.05,1284.41,21
86,MD,Internal Medicine,0,7228.64,203,Food and Beverage,4997.42,2360.3,39
87,MA,Urology,1,7494.24,427,Food and Beverage,6831.95,568.91,35
91,NC,Internal Medicine,0,2585.04,96,Food and Beverage,2487.4,1022.1100000000001,38
92,WA,Internal Medicine,0,3083.53,192,Food and Beverage,2983.72,481.14,30
93,KS,Psychiatry & Neurology,1,34673.36,1357,Food and Beverage,16267.77,8858.64,144
94,ID,Urology,0,4218.17,113,Food and Beverage,2822.87,2176.87,21
96,PA,Surgery,0,10713.24,95,Food and Beverage,4399.28,3972.36,9
97,NH,Internal Medicine,0,25470.25,50,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",20700,11144.300000000001,19
98,TX,Orthopaedic Surgery,0,3229.05,65,Food and Beverage,1299.63,1205.4699999999998,15
99,SC,Urology,0,6926.84,155,Food and Beverage,3084.71,3093.46,37
100,MA,Internal Medicine,0,2798.39,144,Food and Beverage,2771.98,713.53,41
101,FL,Internal Medicine,0,2920.58,123,Food and Beverage,2867.16,553.58,27
102,GA,Podiatric Medicine & Surgery Service Providers,0,8840.58,123,Travel and Lodging,3331.38,3134.53,17
105,VA,Dental Providers,0,2158.29,37,Travel and Lodging,1202.04,849.85,16
106,FL,Internal Medicine,0,1285.58,72,Food and Beverage,1251.58,166.45999999999998,10
107,NY,Ophthalmology,0,859.02,26,Food and Beverage,709.02,317.79,5
110,TX,Urology,0,10475.85,54,Travel and Lodging,3791.9,4030.25,10
111,KS,Radiology,0,4564.39,88,Food and Beverage,4474.39,967.0000000000001,12
113,CA,Podiatric Medicine & Surgery Service Providers,0,2159.38,102,Food and Beverage,1333.68,1176.57,31
114,LA,Internal Medicine,1,10985.03,754,Food and Beverage,10894.42,810.8299999999999,47
115,FL,Psychiatry & Neurology,0,102225.27,173,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",81030,16891.48,16
116,CA,Dental Providers,0,3249.64,20,Education,1770,203.51000000000002,3
118,IL,Orthopaedic Surgery,0,6694.08,59,Education,3104.06,4303.39,23
120,GA,Obstetrics & Gynecology,0,978.1899999999999,44,Food and Beverage,978.1899999999999,230.93,13
121,NC,Obstetrics & Gynecology,0,1755.22,97,Food and Beverage,1625.59,369.08000000000004,21
122,FL,Internal Medicine,0,6339.51,328,Food and Beverage,6230.18,581.2699999999999,20
123,MS,Internal Medicine,0,7513.64,302,Food and Beverage,5651.89,1490.8500000000001,97
124,NJ,Eye and Vision Services Providers,0,1062.22,42,Food and Beverage,945.57,267.04,9
125,IL,Otolaryngology,0,746.69,39,Food and Beverage,746.69,142.26000000000002,8
126,CA,Surgery,0,466926.19,194,Consulting Fee,339109,117524.98000000001,52
127,IL,Orthopaedic Surgery,0,14394.68,119,Travel and Lodging,7655.88,4915.9400000000005,28
128,NV,Eye and Vision Services Providers,0,2897.8,60,Food and Beverage,2317.27,594.55,8
129,KS,Pediatrics,0,1272.59,91,Food and Beverage,1272.59,110.01000000000002,8
130,IN,Eye and Vision Services Providers,0,1587.29,67,Food and Beverage,1549.1299999999999,317.03,16
131,HI,Preventive Medicine,0,4710.31,223,Food and Beverage,4585.31,1406.46,51
132,OK,Orthopaedic Surgery,0,2587.0099999999998,60,Food and Beverage,1494.1299999999999,1089.9099999999999,12
133,CT,Ophthalmology,0,1461.35,48,Food and Beverage,1396.6299999999999,620.45,21
134,PA,Orthopaedic Surgery,0,8261.08,44,Education,5876,6128.29,19
135,TN,Pediatrics,0,1617.5,91,Food and Beverage,1467.56,112.83000000000001,11
137,TX,Psychiatry & Neurology,1,6128.41,200,Food and Beverage,4996.34,1613.87,45
138,PA,Internal Medicine,0,1859.01,124,Food and Beverage,1859.01,290.27,21
140,NJ,Obstetrics & Gynecology,0,1026.44,62,Food and Beverage,991.22,255,14
141,MO,Pediatrics,0,965.51,57,Food and Beverage,965.51,187.70000000000002,11
142,NY,Surgery,0,9553.65,90,Consulting Fee,6032,7268.539999999999,21
143,OH,Plastic Surgery,0,6253.91,161,Food and Beverage,2351,1829.15,13
144,FL,Internal Medicine,1,4241.1,201,Food and Beverage,4141.52,366.63999999999993,29
145,NC,Internal Medicine,0,516.72,31,Food and Beverage,498.06,80.42,4
146,MI,Family Medicine,0,1135.39,34,Food and Beverage,1057.1,358.07,10
147,CO,Urology,1,32461.43,45,Current or prospective ownership or investment interest,29457.05,18525.5,14
148,KY,Internal Medicine,0,2933.36,119,Food and Beverage,2386.73,1195.75,23
149,TX,Internal Medicine,0,592.67,39,Food and Beverage,592.67,267.99,16
150,NY,Internal Medicine,0,7033.43,388,Food and Beverage,5630.94,2040.0300000000002,57
151,AZ,Obstetrics & Gynecology,0,537.79,33,Food and Beverage,526.65,127.87,7
152,NY,Psychiatry & Neurology,1,9338.61,293,Food and Beverage,9240.58,2105.33,106
153,NC,Allergy & Immunology,0,6907.1,380,Food and Beverage,6807.54,1904.63,81
154,TX,Internal Medicine,0,8156.17,121,Food and Beverage,5701.85,3856.75,48
156,TX,Internal Medicine,0,370785.46,1203,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",305142,48718.56,155
157,SD,Internal Medicine,0,23575.83,68,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",15300,9944.099999999999,21
158,TN,Preventive Medicine,0,136251,84,Consulting Fee,114298,3290.75,3
159,CA,Family Medicine,0,16264.89,876,Food and Beverage,15989.98,919.3699999999999,72
160,OH,Family Medicine,0,5115.18,367,Food and Beverage,5079.47,360.31999999999994,32
161,IL,Obstetrics & Gynecology,0,4112.13,43,Travel and Lodging,2046.06,2317.7400000000002,11
163,WI,Family Medicine,0,213405.92,1730,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",117489.2,17216.239999999998,154
164,CA,Ophthalmology,0,196482.6,112,Consulting Fee,126982,69255.36,20
165,NJ,Internal Medicine,0,4673.58,136,Food and Beverage,4556.86,1093.59,31
166,TX,Internal Medicine,0,1216.04,31,Food and Beverage,1216.04,546.91,6
167,NJ,Pediatrics,0,1283.52,68,Food and Beverage,1233.52,328.34,15
168,AR,Eye and Vision Services Providers,0,1160.58,60,Food and Beverage,1122.93,237.11,8
169,WI,Eye and Vision Services Providers,0,589.87,24,Food and Beverage,556.05,151.69000000000003,6
170,OH,Allergy & Immunology,0,46117.57,247,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",28895,15569.14,31
171,GA,Urology,0,3821.24,212,Food and Beverage,3340.05,726.1,37
172,CT,Internal Medicine,0,3020.48,269,Food and Beverage,3006.59,646.04,87
173,GA,Eye and Vision Services Providers,0,464.87,9,Food and Beverage,264.87,84.77,1
174,TX,Pediatrics,0,696.4399999999999,35,Food and Beverage,696.4399999999999,319.39,21
175,OH,Internal Medicine,0,8634.97,721,Food and Beverage,8546.33,1466.5599999999997,106
