Physician_ID;State;Primary_Specialty;total_payments;number_of_payments;top_nature;total_of_top_nature;range_count;range_total;top_company;pay_count;std;top_rpi;rpi_count;cash;services;stock;stock_opt;any_ownership;dividend;stock_or_other;top_fop;fop_count
1;FL;Obstetrics & Gynecology;952.9300000000001;47;Food and Beverage;842.44;8;170.41000000000003;550;18;6.498346175980149;Covered;26;4.0;43.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;43
2;MD;Anesthesiology;120924.91999999998;154;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;45190.7;45;35030.520000000004;601;13;478.19976958036307;Covered;88;72.0;82.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;82
3;NY;Podiatric Medicine & Surgery Service Providers;3523.9299999999994;132;Food and Beverage;3523.9299999999994;12;462.4200000000001;340;15;35.44908230097023;Yes;75;39.0;93.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;93
4;GA;Internal Medicine;26745.609999999997;411;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;18011.809999999998;50;13247.09;18;32;129.86936484600307;Yes;231;131.0;280.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;280
5;NM;Orthopaedic Surgery;25411.209999999992;98;Education;8792.0;18;9079.720000000001;442;13;1741.8324513484235;Covered;41;16.0;82.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;82
6;NY;Dental Providers;2680.7999999999997;33;Food and Beverage;1492.8300000000004;8;1039.88;42;13;69.86627993639705;Covered;16;6.0;27.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;27
7;KS;Obstetrics & Gynecology;5822.78;55;Education;2500.0;18;4355.489999999999;278;7;56.06306679081727;Covered;28;3.0;52.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;52
8;NJ;Internal Medicine;2395.9999999999995;153;Food and Beverage;2395.9999999999995;27;349.58;75;16;2.789076809564936;Yes;120;0.0;153.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;153
9;MI;Pediatrics;921.9800000000001;28;Food and Beverage;862.0800000000002;8;237.20000000000002;2431;14;36.0749169188774;Covered;16;1.0;27.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;27
10;TX;Orthopaedic Surgery;167075.03999999998;135;Consulting Fee;104436.66;15;68416.48;267;34;2352.649421365612;Covered;72;41.0;94.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;94
11;NC;Orthopaedic Surgery;12709.720000000005;311;Food and Beverage;6748.569999999992;55;4090.740000000001;42;42;179.29976437793826;Yes;191;61.0;250.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;250
12;GA;;572.2299999999999;23;Food and Beverage;568.2899999999998;4;264.43000000000006;1199;8;9.777465245805606;Yes;17;6.0;17.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;17
13;IN;Dental Providers;658.9999999999999;29;Food and Beverage;543.3699999999999;10;229.11999999999998;471;7;22.487950335167675;Covered;13;12.0;17.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;17
15;FL;Internal Medicine;14626.949999999999;423;Food and Beverage;9905.07;56;2730.06;54;39;25.92402751508978;Yes;233;113.0;310.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;310
16;NY;Internal Medicine;16447.750000000004;45;Consulting Fee;11250.0;11;5033.02;145;12;197.21737184179466;Yes;24;7.0;38.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;38
17;NY;Surgery;1379.94;35;Food and Beverage;1364.79;6;458.87;24;14;40.9979197389713;Yes;26;0.0;35.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;35
19;AL;Internal Medicine;63146.60000000001;464;Travel and Lodging;18340.33000000001;96;11364.55;521;25;291.2201094652101;Yes;294;143.0;321.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;321
20;IL;Eye and Vision Services Providers;3099.1700000000005;162;Food and Beverage;3099.1700000000005;16;351.7699999999999;190;20;8.029116387694774;Yes;102;8.0;154.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;154
21;CA;Psychiatry & Neurology;310294.5600000002;1256;Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program;149748.45;90;73295.86;1393;36;192.07760222387694;Yes;891;335.0;921.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;921
22;FL;Dental Providers;1615.4199999999998;23;Food and Beverage;1424.83;4;797.15;786;8;121.93733156199465;Yes;11;8.0;15.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;15
23;PA;Psychiatry & Neurology;7398.220000000003;103;Food and Beverage;7232.010000000002;8;853.1900000000003;169;10;19.495857680094993;Yes;60;1.0;102.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;102
24;MT;Eye and Vision Services Providers;1321.7500000000002;39;Food and Beverage;1246.4500000000003;12;319.25000000000006;296;7;25.39254418233151;Yes;16;5.0;34.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;34
25;KY;Plastic Surgery;6691.739999999996;88;Food and Beverage;3413.7399999999993;15;1715.9;190;15;186.0961552825491;Yes;47;7.0;81.0;0.0;0.0;0.0;0.0;0.0;In-kind items and services;81
